TARID,protein_name,source_organism,Strain,UniProt_ID,PDB_ID,UniProt PubMed IDs,Function_GO_uniprot,Function_PDB
1,Biofilm-associated surface protein,Staphylococcus aureus,,Q79LN3,7C7U,11292810; 34046916,Not Available,Cell adhesion
2,Type 1 fimbrin D-mannose specific adhesin (Protein FimH),Escherichia coli ,Strain K12,P08191,6YHW,2890081; 7905476; 7610040; 9278503; 16738553; 2900235; 1971261; 12010488,Mannose-binding,Cell adhesion
3,Fimbrial adhesin,Proteus mirabilis ,Strain HI4320,B4EUK6,6Y4E,18375554; 32780778,Not Available,Cell adhesion
4,Putative large adhesion protein (Lap) involved in biofilm formation,Marinobacter nauticus ,Strain ATCC 49840  /  DSM 8798  /  CIP 103578  /  SP17,H8W6K8,6XI3,22689231; 31335890; 32984811,Calcium ion binding,Metal binding protein
5,Minor fimbrium subunit Mfa5,Porphyromonas gingivalis ,Strain ATCC 33277  /  DSM 20709  /  CIP 103683  /  JCM 12257  /  NCTC 11834  /  2561,B2RHG5,6TNJ,18524787; 19589838; 24118823; 26001707; 26437277,Not Available,Cell adhesion
6,Fimbrin-like protein FimI,Escherichia coli ,Strain K12,P39264,6SWH,7610040; 9278503; 16738553; 6147250,Not Available,Structural protein
7,TasA anchoring / assembly protein (Biofilm assembly accessory protein TapA),Bacillus subtilis ,Strain 168,P40949,6QAY,8969508; 9384377; 2507524; 10464223; 10559173; 16430695; 16430696; 21477127; 23646920; 24488317,Not Available,Protein fibril
8,Sensor protein SrrB (EC 2.7.13.3) (Staphylococcal respiratory response protein B),Staphylococcus aureus,,Q9L523,"6PAJ, 7JL6","11157922; 15060046,  32354997","ATP binding, phosphorelay sensor kinase activity",Membrane protein
9,Uncharacterized fimbrial-like protein YdeQ,Escherichia coli ,Strain K12,P77588,6MAP,9097039; 9278503; 16738553,Not Available,Sugar binding protein
10,Transcriptional regulatory protein LytR,Staphylococcus aureus ,Strain NCTC 8325 / PS 47,P60611,6M8O,8550490; 8824633; 19502411; 23733465; 25491472,"DNA-binding Transcription activator activity, phosphorelay response regulator activity, Transcription cis-regulatory region binding",Signaling protein
11,Curli production assembly / transport component CsgG,Escherichia coli ,Strain K12,P0AEA2,6L7C,8817489; 8905232; 9278503; 16738553,Identical protein binding,Protein transport
12,Major fimbrium subunit FimA type-1 (Fimbrillin) (Fimbrilin) (Major fimbrial subunit protein type I),Porphyromonas gingivalis ,Strain ATCC 33277  /  DSM 20709  /  CIP 103683  /  JCM 12257  /  NCTC 11834  /  2561,B2RH54,6JZK,7902712; 18524787; 8778568; 9786913; 10377095; 12593606; 15165251; 17675496; 17526848; 20530728; 23809984; 27062925,Structural molecule,Cell adhesion
13,RNA polymerase sigma-H factor (Sigma-30),Porphyromonas gingivalis ,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,Q06198,6IN7,8432708; 8378309; 7961421; 10984043; 7737518,"DNA-binding Transcription activator activity, sigma factor activity, Transcription cis-regulatory region binding",Transcription
14,Major curlin subunit,Escherichia coli ,Strain K12,P28307,6G8C,8459772; 8817489; 8905232; 9278503; 16738553; 1357528; 1677357; 17010156,Identical protein binding,Protein fibril
15,Methyl-accepting chemotaxis protein TlpQ (TlpQ chemoreceptor),Porphyromonas gingivalis ,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,Q9I0I4,6FU4,10984043; 33097715; 30425146,Not Available,Signaling protein
16,Streptococcal hemagglutinin (Hs antigen) (Sialic acid-binding adhesin),Streptococcus gordonii ,Strain ChalliS  /  ATCC 35105  /  BCRC 15272  /  CH1  /  DL1  /  V288,A8AWU7,"6EFC, 6EFD, 6X3K",11854202; 17720781; 8366515; 15213130; 19884334; 21071690; 27616700,Not Available,Cell adhesion
17,Putative hemin storage protein,Bordetella bronchiseptica ,Strain ATCC BAA-588  /  NCTC 13252  /  RB50,A0A0H3LKK6,6AU1,12910271; 29684093,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Hydrolase
18,Autoinducer-2 kinase (AI-2 kinase) (EC 2.7.1.189),Escherichia coli ,Strain K12,P77432,5YA1,9097039; 9278503; 16738553; 8649811; 15601708; 17557827; 20025244,"Autoinducer-2 kinase activity, phosphoTransferase activity,  alcohol group as acceptor",Structural protein
19,Putative outer Membrane protein,Salmonella typhimurium ,Strain LT2  /  SGSC1412  /  ATCC 700720,Q8ZRK4,5Y9H,11677609; 16793551; 18448124; 29125121,Not Available,Cell adhesion
20,Putative fimbriae subunit,Salmonella typhimurium ,Strain LT2  /  SGSC1412  /  ATCC 700720,Q7CR56,5Y9H,11677609; 29125121,Not Available,Cell adhesion
21,"Putative ABC transporter,  ATP-binding protein ComA",Streptococcus mutans serotype C,Strain ATCC 700610  /  UA159,Q8DW05,5XE9,12397186; 20100826; 23534432; 28642545,"ABC-type bacteriocin transporter activity, ATP binding, cysteine-type peptidase activity",Hydrolase
22,HTH-type Transcriptional regulator RcdA (Regulator of csgD),Escherichia coli ,Strain K12,P75811,5X5I,8905232; 9278503; 16738553; 23233451,DNA binding transcription factor activity,Transcription
23,CRISPR-associated protein Csy1,Pseudomonas aeruginosa,Strain UCBPP-PA14,Q02ML9,"5UZ9, 6B44, 6B45, 6B47, 6B48, 6NE0",17038190; 21398535; 21081758; 21536913; 22522703; 28340349; 28985564; 28985564; 28985564; 28985564; 30872121,Not Available,Immune system / RNA
24,CRISPR-associated protein Csy2,Pseudomonas aeruginosa,Strain UCBPP-PA14,Q02MM0,"5UZ9, 6B44, 6B45, 6B47, 6B48, 6NE0",17038190; 21398535; 21081758; 21536913; 22522703; 28340349;28985564;28985564;28985564; 28985564; 30872121,Not Available,Immune system / RNA
25,CRISPR-associated protein Csy3,Pseudomonas aeruginosa,Strain UCBPP-PA14,Q02MM1,"5UZ9, 5XLO, 5XLP, 6B44, 6B45, 6B46, 6B47, 6B48, 6NE0",17038190; 21398535; 21081758; 21536913; 22522703; 28340349; 28574055; 28574055; 28985564; 28985564; 28985564; 28985564; 28985564; 30872121,Not Available,Immune system / RNA
26,Major biofilm matrix component (Spore coat-associated protein N) (Translocation-dependent antimicrobial spore component),Bacillus subtilis ,Strain 168,P54507,5OF1,8969508; 9384377; 3096962; 10368135; 10658653; 10049401; 10464223; 12429099; 16430695; 16430696; 20080671; 23646920; 29531041,Identical protein binding,Protein fibril
27,Minor fimbrium anchoring subunit Mfa2 (Minor fimbrial antigen 2),Porphyromonas gingivalis ,Strain ATCC 33277  /  DSM 20709  /  CIP 103683  /  JCM 12257  /  NCTC 11834  /  2561,B2RHG2,5NFI,18524787; 19589838; 26437277; 27062925; 29379120,Not Available,Cell adhesion
28,Minor fimbrium tip subunit Mfa3,Porphyromonas gingivalis ,Strain ATCC 33277  /  DSM 20709  /  CIP 103683  /  JCM 12257  /  NCTC 11834  /  2561,B2RHG3,5NF4,18524787; 19589838; 24118823; 26001707; 26437277; 29379120,Not Available,Cell adhesion
29,Minor fimbrium subunit Mfa1 (Pg-II fim a),Porphyromonas gingivalis ,Strain ATCC 33277  /  DSM 20709  /  CIP 103683  /  JCM 12257  /  NCTC 11834  /  2561,B2RHG1,"5NF2, 5NF3",18524787; 9786913; 11083792; 12593606; 15972485; 19589838; 23809984; 24118823; 26001707; 26437277; 29379120; 29379120,Not Available,Cell adhesion
30,Methyl-accepting chemotaxis protein PctA,Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,G3XD24,"5LTX, 5T65, 5T7M",8522505; 9353923; 10984043; 16233808; 23650915; 27031335; 30425146; 33097715; 31964737,"Amino acid binding, transmembrane signaling receptor activity",Signaling protein
31,Regulatory protein RsaL (RsaL protein) (Virulence gene repressor RsaL),Pseudomonas aeruginosa,,Q9X7H4,5J2Y,1902216; 10094696,DNA binding,Gene regulation
